4x400m,Men,2:52.67,1308.0
300m,Men,30.47,1307.0
400m,Men,43.22,1307.0
400mH,Men,46.57,1307.0
4x100m,Men,36.98,1307.0
4x200m,Men,1:17.73,1307.0
4x400m,Men,2:52.74,1307.0
110mH,Men,12.74,1306.0
200m,Men,19.46,1306.0
300m,Men,30.48,1306.0
400m,Men,43.23,1306.0
400mH,Men,46.59,1306.0
4x100m,Men,36.99,1306.0
4x200m,Men,1:17.76,1306.0
4x400m,Men,2:52.80,1306.0
100m,Men,9.72,1305.0
200m,Men,19.47,1305.0
300m,Men,30.49,1305.0
400m,Men,43.24,1305.0
400mH,Men,46.61,1305.0
4x100m,Men,37.0,1305.0
4x200m,Men,1:17.78,1305.0
4x400m,Men,2:52.86,1305.0
110mH,Men,12.75,1304.0
300m,Men,30.5,1304.0
400m,Men,43.26,1304.0
400mH,Men,46.62,1304.0
4x100m,Men,37.01,1304.0
4x200m,Men,1:17.81,1304.0
4x400m,Men,2:52.92,1304.0
200m,Men,19.48,1303.0
300m,Men,30.51,1303.0
400m,Men,43.27,1303.0
400mH,Men,46.64,1303.0
4x100m,Men,37.03,1303.0
4x200m,Men,1:17.83,1303.0
4x400m,Men,2:52.98,1303.0
110mH,Men,12.76,1302.0
200m,Men,19.49,1302.0
300m,Men,30.52,1302.0
400m,Men,43.28,1302.0
400mH,Men,46.66,1302.0
4x100m,Men,37.04,1302.0
4x200m,Men,1:17.86,1302.0
4x400m,Men,2:53.04,1302.0
100m,Men,9.73,1301.0
300m,Men,30.53,1301.0
400m,Men,43.3,1301.0
400mH,Men,46.68,1301.0
4x100m,Men,37.05,1301.0
4x200m,Men,1:17.88,1301.0
4x400m,Men,2:53.11,1301.0
110mH,Men,12.77,1300.0
200m,Men,19.5,1300.0
300m,Men,30.54,1300.0
400m,Men,43.31,1300.0
400mH,Men,46.7,1300.0
4x100m,Men,37.06,1300.0
4x200m,Men,1:17.91,1300.0
4x400m,Men,2:53.17,1300.0
300m,Men,30.55,1299.0
400m,Men,43.33,1299.0
400mH,Men,46.72,1299.0
4x100m,Men,37.08,1299.0
4x200m,Men,1:17.94,1299.0
4x400m,Men,2:53.23,1299.0
100m,Men,9.74,1298.0
110mH,Men,12.78,1298.0
200m,Men,19.51,1298.0
300m,Men,30.56,1298.0
400m,Men,43.34,1298.0
400mH,Men,46.74,1298.0
4x100m,Men,37.09,1298.0
4x200m,Men,1:17.96,1298.0
4x400m,Men,2:53.29,1298.0
200m,Men,19.52,1297.0
300m,Men,30.57,1297.0
400m,Men,43.35,1297.0
400mH,Men,46.76,1297.0
4x100m,Men,37.1,1297.0
4x200m,Men,1:17.99,1297.0
4x400m,Men,2:53.35,1297.0
110mH,Men,12.79,1296.0
300m,Men,30.58,1296.0
400m,Men,43.37,1296.0
400mH,Men,46.78,1296.0
4x100m,Men,37.11,1296.0
4x200m,Men,1:18.01,1296.0
4x400m,Men,2:53.42,1296.0
200m,Men,19.53,1295.0
300m,Men,30.59,1295.0
400m,Men,43.38,1295.0
400mH,Men,46.79,1295.0
4x100m,Men,37.13,1295.0
4x200m,Men,1:18.04,1295.0
4x400m,Men,2:53.48,1295.0
100m,Men,9.75,1294.0
110mH,Men,12.8,1294.0
300m,Men,30.6,1294.0
400m,Men,43.39,1294.0
400mH,Men,46.81,1294.0
4x100m,Men,37.14,1294.0
4x200m,Men,1:18.06,1294.0
4x400m,Men,2:53.54,1294.0
200m,Men,19.54,1293.0
300m,Men,30.61,1293.0
400m,Men,43.41,1293.0
400mH,Men,46.83,1293.0
4x100m,Men,37.15,1293.0
4x200m,Men,1:18.09,1293.0
4x400m,Men,2:53.60,1293.0
110mH,Men,12.81,1292.0
200m,Men,19.55,1292.0
300m,Men,30.62,1292.0
400m,Men,43.42,1292.0
400mH,Men,46.85,1292.0
4x100m,Men,37.16,1292.0
4x200m,Men,1:18.11,1292.0
4x400m,Men,2:53.66,1292.0
100m,Men,9.76,1291.0
300m,Men,30.63,1291.0
400m,Men,43.44,1291.0
400mH,Men,46.87,1291.0
4x100m,Men,37.18,1291.0
4x200m,Men,1:18.14,1291.0
4x400m,Men,2:53.73,1291.0
110mH,Men,12.82,1290.0
200m,Men,19.56,1290.0
300m,Men,30.64,1290.0
400m,Men,43.45,1290.0
400mH,Men,46.89,1290.0
4x100m,Men,37.19,1290.0
4x200m,Men,1:18.16,1290.0
4x400m,Men,2:53.79,1290.0
200m,Men,19.57,1289.0
300m,Men,30.66,1289.0
400m,Men,43.46,1289.0
400mH,Men,46.91,1289.0
4x100m,Men,37.2,1289.0
4x200m,Men,1:18.19,1289.0
4x400m,Men,2:53.85,1289.0
110mH,Men,12.83,1288.0
300m,Men,30.67,1288.0
400m,Men,43.48,1288.0
400mH,Men,46.93,1288.0
4x100m,Men,37.21,1288.0
4x200m,Men,1:18.22,1288.0
4x400m,Men,2:53.91,1288.0
100m,Men,9.77,1287.0
200m,Men,19.58,1287.0
300m,Men,30.68,1287.0
400m,Men,43.49,1287.0
400mH,Men,46.94,1287.0
4x100m,Men,37.23,1287.0
4x200m,Men,1:18.24,1287.0
4x400m,Men,2:53.97,1287.0
110mH,Men,12.84,1286.0
300m,Men,30.69,1286.0
400m,Men,43.5,1286.0
400mH,Men,46.96,1286.0
4x100m,Men,37.24,1286.0
