event,gender,performance,points
55mH,MALE,8.19,800.0
60mH,MALE,8.82,798.0
55m,MALE,6.82,797.0
60m,MALE,7.29,797.0
50mH,MALE,7.52,797.0
55mH,MALE,8.2,797.0
60mH,MALE,8.83,795.0
50m,MALE,6.32,794.0
50mH,MALE,7.53,794.0
55mH,MALE,8.21,794.0
60m,MALE,7.3,793.0
55m,MALE,6.83,792.0
60mH,MALE,8.84,792.0
50mH,MALE,7.54,791.0
55mH,MALE,8.22,791.0
60mH,MALE,8.85,790.0
50m,MALE,6.33,789.0
60m,MALE,7.31,788.0
55mH,MALE,8.23,788.0
55m,MALE,6.84,787.0
50mH,MALE,7.55,787.0
60mH,MALE,8.86,787.0
55mH,MALE,8.24,785.0
50mH,MALE,7.56,784.0
60mH,MALE,8.87,784.0
50m,MALE,6.34,783.0
60m,MALE,7.32,783.0
55m,MALE,6.85,782.0
55mH,MALE,8.25,782.0
50mH,MALE,7.57,781.0
60mH,MALE,8.88,781.0
60m,MALE,7.33,779.0
55mH,MALE,8.26,779.0
60mH,MALE,8.89,779.0
50m,MALE,6.35,778.0
50mH,MALE,7.58,778.0
55m,MALE,6.86,777.0
60mH,MALE,8.9,776.0
55mH,MALE,8.27,775.0
60m,MALE,7.34,774.0
50mH,MALE,7.59,774.0
